exp states,  alpha = 0.5, gamma = 0.91
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,1,1
110,0,1
111,0,1
112,0,1
113,0,1
114,1,1
115,0,1
116,0,1
117,0,1
118,0,1
119,0,1
120,0,1
121,1,1
122,0,1
123,1,1
124,0,1
125,1,1
126,1,1
127,0,1
128,0,1
129,0,1
130,0,1
131,0,1
132,1,1
133,0,1
134,0,1
135,0,1
136,0,1
137,0,1
138,0,1
139,0,1
140,0,1
141,1,1
142,0,1
143,0,1
144,0,1
145,0,1
146,0,1
147,2,2
148,0,2
149,1,2
150,0,2
151,0,2
152,1,2
153,0,2
154,1,2
155,0,2
156,0,2
157,0,2
158,1,2
159,1,2
160,1,2
161,3,3
162,0,3
163,1,3
164,0,3
165,1,3
166,0,3
167,0,3
168,0,3
169,0,3
170,0,3
171,0,3
172,1,3
173,1,3
174,1,3
175,0,3
176,0,3
177,1,3
178,1,3
179,0,3
180,0,3
181,1,3
182,0,3
183,0,3
184,2,3
185,0,3
186,0,3
187,1,3
188,0,3
189,0,3
190,2,3
191,2,3
192,0,3
193,0,3
194,1,3
195,0,3
196,0,3
197,1,3
198,1,3
199,0,3
200,1,3
201,0,3
202,1,3
203,1,3
204,1,3
205,1,3
206,0,3
207,1,3
208,0,3
209,1,3
210,2,3
211,1,3
212,0,3
213,0,3
214,0,3
215,0,3
216,0,3
217,0,3
218,0,3
219,0,3
220,0,3
221,0,3
222,1,3
223,2,3
224,0,3
225,1,3
226,0,3
227,0,3
228,2,3
229,1,3
230,0,3
231,1,3
232,0,3
233,0,3
234,2,3
235,0,3
236,3,3
237,0,3
238,2,3
239,1,3
240,1,3
241,1,3
242,1,3
243,1,3
244,2,3
